id,profileName,Text,date,title,rating,images,helpful,Colour,Style name
R3SEI59NALCYH7,Mohit,"Warning: My review is purely my opinion. I'll list out the issues I faced with this one so that you are well informed before purchasing this non-returnable product.It's a really good earphone (on paper).2 stars for making it feature loaded.1. Dual pairing (this is better than quickswitch, as you stay connected to 2 devices at the same time)2. Great battery life3. Touch controls (first in this range)4. Incoming call vibrationSounds like a complete package?Well, here's what I faced that made this device feel useless:1. Bad sound quality (people will say that audio could be subjective. But I am certain that for music, these sound bad. If you really don't care about that, well, check the next point).2. The earbuds, as fancy and premium they look in the photos, are painful to put on in real life. Half an hour of usage and I found myself throwing them away. The buds were too large, and the rubber hook, too hard. Contrastingly, I own a Realme Buds Wireless (2 years old now), and I couldn't even feel I'm wearing it for long times.3. The touch button is a gimmick. Sometimes, it works. Sometimes it doesn't.Overall, they got the spirit right. On paper they are offering pretty good features. But some cost cutting and lack of comfort research left me wanting for more, and hey, if the earphones SOUND BAD and HURT YOUR EAR, what good are the other fancy features worth?",Reviewed in India on 25 May 2021,"They got the spirit right, but somewhere, the implementation went wrong",1,,394,Carbon Black,Flair
R362F4K0WUQT30,Rahul,I loved the product in every term .... design....built.... quality.... sound.... battery.....i do suggest everyone to go with this with thinking another 💫,Reviewed in India on 22 May 2021,Fully satisfied ☺️,5,https://images-na.ssl-images-amazon.com/images/I/81lxkVOqnSL.jpg,223,Carbon Black,Flair
R11MEOTRK42JRA,Vardhan Reddy,"Good performance  noise  I ithink these is  trending better than OnePlus ,🥰🥰🥰😍😍😍 sprrrrrrrrrr plus point touch control clear phone call song bass achha  and 8min 8hrs",Reviewed in India on 22 May 2021,Sprr,5,"https://images-na.ssl-images-amazon.com/images/I/B1Cd6cmw0wS.jpg
https://images-na.ssl-images-amazon.com/images/I/B1V0NuRsC6S.jpg",213,Carbon Black,Flair
R3QQB27EW38NN2,Arun Kumar,"Call quality and connectivity is good. Bass and sound quality is also very good. Touch sensor also works fine.PROBLEM ARISES HERE :- At too low volume the neckband sound is very high, which is hurting my ears. The lowest volume is also too loud. Did a lot of settings in my phone but no solution at all.I tried it in SAMSUNG M21 & OPPO A54 (same problem of loud volume exist while connecting neckband to these two devices)In REDMI NOTE 6 PRO - the volume is manageable, not too loud at low volume.Edit(19/01/2022):- i found a way to decrease the loudness, i did equaliser setting in phone and make the equaliser at its lowest decibel and it worked, now no issues with this neckband. Also battery performance is upto the mark.Press the helpful button if my review somehow helped you.",Reviewed in India on 12 January 2022,Must read before buying,3,https://m.media-amazon.com/images/I/71RGOefhvPL.jpg,71,Carbon Black,Flair
RJATIE2GV04SC,Abhishek Kumar Jha,"Don't just go for touch gimmick, awful product. Build is ok ok but not very good. Band quality feels like plastic on neck and becomes uncomfortable many a times. Sound is too loud at first bar also which is not good for ears and also if you want to listen in low volume. Talking about call vibration alert, it may irritate you since if you put the call on silence it will still keep vibrating at great pace. Battery is good.Mic quality is worst, if you are even under a fan, the other party would hear the fan more than you.I had replaced my first order thinking that there is some issue with mic, but the replacement was a used product with teared box and with micro usb cable, which the band doesn't support.Please go for any other band, even the boat 335 may cost you cheaper and is better than flair neckband in every aspect.Hit like if you could relate to it.",Reviewed in India on 17 June 2021,Awful product!!,1,,61,Carbon Black,Flair
R2UIH2M34BXJLC,Dr. Sudhir,"Very disappointed with the product as it has a very poor sound quality when you are on a call, you always have to struggle for the caller voice.3star just for the C-type cable and it's length.",Reviewed in India on 24 October 2021,Poor Call quality,3,,45,Jet Black,Sense
R1QLDBR97LWKDM,Ashish Jain,Mera first order Product defect and return product then new order kiya or us ko 7 din se iss kar raha hu bhut hi badiya product hai Velu for moneyAfter 1 months use productNot good for calling kisi se bhi baat karo samne bale pe awaj bhut kaam jati hai is liye muje y product jama nai calling ki waje se,Reviewed in India on 7 June 2021,Best product & Sound,1,,30,Carbon Black,Flair
R4Y9A4L64D81F,Sagar,Bekar product waste isse acha 500 ka local wale ka sound hai and youtoube par b sab paid promotion hai . Not providing bass with 10 mm driver boat product is better than this.custmercare service is also very poor  and if you wear shirts co collar tees u have to face trouble with its touch such a waste 1800rs waste hogaya dnt purchase it,Reviewed in India on 26 June 2021,Defective product custmer care is not responding.,1,,19,Forest Green,Flair
R1MB8IGWEQHMOC,Bhabani,"I m writing the review after 1 week of usageSound quality is awesome, if you're not bass lover. You can hear every bits. Battery life is not promising but it goes upto 30 hrs. Its has touch controls, which is one of its kind, you can manage your music, calls and also voice assistance. The only area its lack of volume control, there is no option for volume control, you have to manage your volume with your phone. If you ignore this point it is awesome.",Reviewed in India on 10 June 2021,Noise flair neckband review after 1 week usage,4,https://images-na.ssl-images-amazon.com/images/I/C1-jzON9IfS.jpg,17,Stone Blue,Flair
RGNVRZZ9705LH,jagannath, My product got defective with in 2 month after purchase. After so many  days  follow up  no response from them. Plz do not purchase from noise. They will give u a headache. From both earpiece are not working. @ noise plz don’t sell product when you can’t control your support team if got defective by any customer.They replace with in 1week after my complaints. From now it’s working good.,Reviewed in India on 7 September 2021,Good product but support is worst,4,"https://m.media-amazon.com/images/I/C1RXlRYd8FS.jpg
https://m.media-amazon.com/images/I/C1WvPkQ4kyS.jpg",15,Carbon Black,Flair
