Text,Title,Rating
"Warning: My review is purely my opinion. I'll list out the issues I faced with this one so that you are well informed before purchasing this non-returnable product.It's a really good earphone (on paper).2 stars for making it feature loaded.1. Dual pairing (this is better than quickswitch, as you stay connected to 2 devices at the same time)2. Great battery life3. Touch controls (first in this range)4. Incoming call vibrationSounds like a complete package?Well, here's what I faced that made this device feel useless:1. Bad sound quality (people will say that audio could be subjective. But I am certain that for music, these sound bad. If you really don't care about that, well, check the next point).2. The earbuds, as fancy and premium they look in the photos, are painful to put on in real life. Half an hour of usage and I found myself throwing them away. The buds were too large, and the rubber hook, too hard. Contrastingly, I own a Realme Buds Wireless (2 years old now), and I couldn't even feel I'm wearing it for long times.3. The touch button is a gimmick. Sometimes, it works. Sometimes it doesn't.Overall, they got the spirit right. On paper they are offering pretty good features. But some cost cutting and lack of comfort research left me wanting for more, and hey, if the earphones SOUND BAD and HURT YOUR EAR, what good are the other fancy features worth?","They got the spirit right, but somewhere, the implementation went wrong",1
I loved the product in every term .... design....built.... quality.... sound.... battery.....i do suggest everyone to go with this with thinking another 💫,Fully satisfied ☺️,5
"Good performance  noise  I ithink these is  trending better than OnePlus ,🥰🥰🥰😍😍😍 sprrrrrrrrrr plus point touch control clear phone call song bass achha  and 8min 8hrs",Sprr,5
"Call quality and connectivity is good. Bass and sound quality is also very good. Touch sensor also works fine.PROBLEM ARISES HERE :- At too low volume the neckband sound is very high, which is hurting my ears. The lowest volume is also too loud. Did a lot of settings in my phone but no solution at all.I tried it in SAMSUNG M21 & OPPO A54 (same problem of loud volume exist while connecting neckband to these two devices)In REDMI NOTE 6 PRO - the volume is manageable, not too loud at low volume.Edit(19/01/2022):- i found a way to decrease the loudness, i did equaliser setting in phone and make the equaliser at its lowest decibel and it worked, now no issues with this neckband. Also battery performance is upto the mark.Press the helpful button if my review somehow helped you.",Must read before buying,3
"Don't just go for touch gimmick, awful product. Build is ok ok but not very good. Band quality feels like plastic on neck and becomes uncomfortable many a times. Sound is too loud at first bar also which is not good for ears and also if you want to listen in low volume. Talking about call vibration alert, it may irritate you since if you put the call on silence it will still keep vibrating at great pace. Battery is good.Mic quality is worst, if you are even under a fan, the other party would hear the fan more than you.I had replaced my first order thinking that there is some issue with mic, but the replacement was a used product with teared box and with micro usb cable, which the band doesn't support.Please go for any other band, even the boat 335 may cost you cheaper and is better than flair neckband in every aspect.Hit like if you could relate to it.",Awful product!!,1
"Very disappointed with the product as it has a very poor sound quality when you are on a call, you always have to struggle for the caller voice.3star just for the C-type cable and it's length.",Poor Call quality,3
Mera first order Product defect and return product then new order kiya or us ko 7 din se iss kar raha hu bhut hi badiya product hai Velu for moneyAfter 1 months use productNot good for calling kisi se bhi baat karo samne bale pe awaj bhut kaam jati hai is liye muje y product jama nai calling ki waje se,Best product & Sound,1
Bekar product waste isse acha 500 ka local wale ka sound hai and youtoube par b sab paid promotion hai . Not providing bass with 10 mm driver boat product is better than this.custmercare service is also very poor  and if you wear shirts co collar tees u have to face trouble with its touch such a waste 1800rs waste hogaya dnt purchase it,Defective product custmer care is not responding.,1
"I m writing the review after 1 week of usageSound quality is awesome, if you're not bass lover. You can hear every bits. Battery life is not promising but it goes upto 30 hrs. Its has touch controls, which is one of its kind, you can manage your music, calls and also voice assistance. The only area its lack of volume control, there is no option for volume control, you have to manage your volume with your phone. If you ignore this point it is awesome.",Noise flair neckband review after 1 week usage,4
 My product got defective with in 2 month after purchase. After so many  days  follow up  no response from them. Plz do not purchase from noise. They will give u a headache. From both earpiece are not working. @ noise plz don’t sell product when you can’t control your support team if got defective by any customer.They replace with in 1week after my complaints. From now it’s working good.,Good product but support is worst,4
This product at this price range is awesome but still i am giving 2 stars because when it launched i have order this packaging is awesome booklet design and now i have ordered again same for my brother and packaging is in one cardboard box only and amazon delivery guy behavior is worst so i am giving 2 star to this product,Kindly not change packaging and give same as before,2
 This product is really amazing we love the product it's very easy to use and very much fancy it sound quality is very good amazing sound quality and even the product looks very fancy and very nice to use the touch quality that they have given in this is really amazing will love the product thank you so much noise and Amazon both.,Sound quality 🥰🥰🥰😍😍😍,5
"If you gonna buy for the packaging experience that you see in reviews on YouTube, don't, the packaging is not nearly good as you see, and I hate when companies be deceptive like this so was initially going to give one star.But thought of using the product before writing a review, and it's actually good, battery is great, call quality is great, build quality is also good, the magnetic strength is pathetic.Touch button has lesser accidental clicks than I thought, but I don't see the point in giving touch button and not volume button separately.Could have been better",Almost disappointing,4
Sound quality poor.. 1 hour review..,Poor sound quality... Dislike 😤,1
sound quality is balanced mids and vocals are crystal clear and bass is also balanced not low bass best under the price range overall this product is good for calls and music lowers,better than oneplus bass edition,5
" I received the product on 12th February and the product was installed on 14th Feb. There were some charging issues initially as battery would drain out within few (5-6hrs) of average usage like answering phone calls etc.However, on Feb 23rd post the battery drained out completely, I chaged it for 1-1.5hr and post that the deavice is completely dead!!!There is no way I can get the device switched on!This device has 1 year warranty and i have already registered it. I need this replaced!!@noise - very dissatisfied with the Product...",Product Dead within a week!!!,1
"product is nice, well build, battery backup is very good bt not as told by brand which is 35 hrs. it roughly gives 23-24 hr backup. i m using 5wt adapter and inbox cable so no heating issue. sound quality is best under this price range. (bt bass is little muddy according to me not that thumpy) bt sound is very loud. can't use it over 75% sound. I ordered 3 noise flair neckbands. 1 out 3 have some issue over folded plastic near the edge(swollen up) . except this i have no issue. love noise products, used almost all of them. well done. keep it up. 👍🏻",noise is better then boat always.. 😂,5
EXCELLENT go for it nice sound nice design nice buds superb light weight wow gohead...👍,Excellent noise flair thanks amazon,5
"* This earphone is good 👌👌👌💪* Battery Life is good 🔋upto 30 hours backup in 10% to 60% volume💪👌🔋* Sound is good mix based 👌👌* 👉Calling experience is vary bad 👎🏿👎🏻👎🏿👎🏽👎🏿👎🏿👎🏿* Charging time is too fast, full charge in 40 minutes 💪💪👌👌👉👉👉I think 🤔 green 💚colour is batter as others colour..❌❌❌But❎❎❎ ""noise cancellation"" is Not Working 👎🏿👎🏿👎🏿👎🏿👎🎤👎👎😡😡😡","Not 🚫 for calling, Vary bad performance for calling",4
"Ordered but Amazon delivered something else. Got replacement but... (Read below)Though it comes fully charged but in package it is mentioned “Use only after charging”. So, I Started using it after charging to 100 percent.The bass was great.Noise cancellation is upto the mark. (As expected)Build quality is awesome. It fits perfectly in ear.Touch controls are very smooth and handy.Trust me you'll not need any buttons to change volume. (Use Google assistant)Go for it. ❤️",Make some noise,4
Con1) The device gets switched off if not in active usage will have power up and  re connect to use2) very big latency in video playback3) when you are in a call the sound keeps getting cut4) In call other party won't hear your voice clearPro1) can connect 2 divice simultaneous2) good build3) Good fit in your ear,Not worth it,1
Have been using it for 3 weeks charges within 35 minutes on a 15w charger and it lasts for 3 days easily with phones without Dolby Atmos and for a WEEK for Phones with Dolby Atmos (it gets pretty loud with 20% volume itself) the sound quality is very good and there's no lag while playing BGMI and COD and music quality is really good and bass is okay..And built quality is very good.And the main highlight is the touch sensitive controls...Which no one offers in this price range..If you want a good looking earphones at this price range you can go for this one definitely recommending it for everyone.,One of the best Bluetooth earphones!,5
"Quality and sound is best touch control ,👌look best👌",Ab tak best neckband hai noise 😊👌👌👌👌💯,5
"Pros:1. Awesome battery life2. Super lightweight.3. Call vibration.Cons:1. Either You have to stick the earpiece together or wear them in ear .. other wise the neckband will fall off as its ultra lightweight.2. Dual pairing actually sucks . If you pair it do another device . You'll face crazy ass delay in audio on both the devices.3. It's made up of cheap plastic material not silicon.4. It doesn't support fast charging. You'll have to have charger >=15 watts. Or use power bank.5. The sound is just loud not crisp.6. connectivity range is small , You cant across the room without carrying the phone with you .There are other better  options available at this price point.",buy this one if you really don't have an option,2
